"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"Good Morning Call","SHOW",2016,"TV-14",48,2,7.7,3088,12.751,7.1,"comedy","Japan"
"Mercy","MOVIE",2016,NA,82,NA,4.1,3402,9.957,4.3,"thriller","USA"
"Our Lovers","MOVIE",2016,NA,88,NA,6.7,4140,11.493,7.2,"comedy","Spain"
"Inside the World's Toughest Prisons","SHOW",2016,"TV-MA",48,5,7.1,2747,3.8,7.4,"crime","UK"
"Septembers of Shiraz","MOVIE",2015,"PG-13",110,NA,7.9,38,8.075,5.8,"drama","USA"
"Ordinary World","MOVIE",2016,NA,86,NA,5.5,3034,7.766,6,"drama","USA"
"Beat Bugs","SHOW",2016,"TV-Y",15,3,7.6,522,6.351,6.6,"animation","Australia"
"Dhanak","MOVIE",2015,NA,106,NA,7.9,3893,2.514,7.5,"drama","India"
"Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking","MOVIE",2016,NA,74,NA,5.6,614,2.907,5.8,"comedy","USA"
"Captive","SHOW",2016,NA,63,1,6.8,724,3.779,6.8,"documentation","USA"
"Demetri Martin: Live (At The Time)","MOVIE",2015,NA,61,NA,7.4,2163,4.491,6.9,"comedy","USA"
"Brothers","MOVIE",2015,"PG-13",156,NA,6.4,12886,4.823,6.6,"drama","India"
"Another Miss Oh","SHOW",2016,"TV-MA",69,1,7.9,1769,22.672,8.2,"drama","Korea"
"Rebirth","MOVIE",2016,NA,101,NA,4.9,5156,6.244,4.6,"thriller","USA"
"Audrie & Daisy","MOVIE",2016,NA,95,NA,7.2,6586,8.819,7.2,"documentation","USA"
"T@gged","SHOW",2016,"TV-14",22,3,7.3,2012,12.18,8,"drama","USA"
"Riot","MOVIE",2015,NA,87,NA,5.1,3332,13.12,5.9,"action","USA"
"Anjelah Johnson: Not Fancy","MOVIE",2015,NA,63,NA,5.7,686,3.318,4.8,"comedy","USA"
"The Deep","SHOW",2015,"TV-Y7",22,3,8.1,645,11.108,8.4,"action","Australia"
"La Niña","SHOW",2016,"TV-MA",45,1,8.3,642,21.243,7.7,"action","Other"
"Colin Quinn: The New York Story","MOVIE",2016,NA,62,NA,6.8,990,3.746,6.3,"comedy","USA"
"Ask the Storybots","SHOW",2016,"TV-Y",26,3,8.4,870,13.727,8.2,"animation","USA"
"Divines","MOVIE",2016,NA,105,NA,7.4,9739,9.524,7.8,"drama","Other"
"MindGamers","MOVIE",2015,NA,97,NA,3.6,1093,3.915,4.3,"thriller","Other"
"La esclava blanca","SHOW",2016,"TV-MA",41,1,8.1,575,25.176,7.4,"history","Other"
"Tony Robbins: I Am Not Your Guru","MOVIE",2016,NA,115,NA,6.7,4335,9.812,6.6,"documentation","USA"
"I Am Michael","MOVIE",2015,NA,98,NA,5.6,5495,8.06,5.6,"drama","USA"
"Justin Timberlake + The Tennessee Kids","MOVIE",2016,NA,90,NA,7.8,2173,4.71,7.6,"documentation","USA"
"World of Winx","SHOW",2016,"TV-Y7",23,2,6.6,715,4.724,8.1,"action","USA"
"Heneral Luna","MOVIE",2015,"R",118,NA,7.4,2089,5.595,7.7,"action","Philippines"
"Un + une","MOVIE",2015,NA,115,NA,6.2,2279,7.422,5.9,"comedy","France"
"Mucize","MOVIE",2015,"PG-13",136,NA,7.7,12395,7.566,7.2,"drama","Turkey"
"Pororo the Little Penguin","SHOW",2016,NA,8,6,6.3,88,5.458,5,"scifi","Korea"
"The Heirs","MOVIE",2015,NA,71,NA,5.7,224,1.748,6.1,"drama","Mexico"
"72 Cutest Animals","SHOW",2016,NA,27,1,5.7,433,3.205,6.5,"documentation","Australia"
"Richie Rich","SHOW",2015,"TV-PG",22,2,3.1,1041,14.932,6.3,"comedy","USA"
"Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry","MOVIE",2016,"PG-13",87,NA,7.4,2519,4.242,7.2,"comedy","USA"
"In the Shadow of Iris","MOVIE",2016,NA,99,NA,6.1,4256,9.415,5.9,"thriller","France"
"Jim Jefferies: Freedumb","MOVIE",2016,"R",86,NA,7.7,5393,6.07,7.3,"comedy","USA"
"Force 2","MOVIE",2016,"PG",123,NA,6.2,5501,8.386,6.5,"crime","India"
"Couple Of Days","MOVIE",2016,NA,103,NA,6.4,21,0.919,4,"drama","Nigeria"
"3000 Nights","MOVIE",2015,NA,103,NA,7.1,676,1.65,6.1,"drama","Other"
"6 Years","MOVIE",2015,NA,84,NA,5.6,12441,8.384,5.4,"romance","USA"
"Tamasha","MOVIE",2015,"PG",139,NA,7.4,26790,7.836,6.6,"drama","India"
"Manson Family Vacation","MOVIE",2015,NA,85,NA,5.8,2965,7.823,5.9,"drama","USA"
"Garfunkel and Oates: Trying to be Special","MOVIE",2016,NA,62,NA,7.3,899,3.59,7.5,"comedy","USA"
"LEGO Friends: The Power of Friendship","SHOW",2016,"TV-Y",23,2,6.5,49,9.137,7.7,"animation","USA"
"Strange Weather","MOVIE",2016,"R",95,NA,6,1499,12.599,6,"drama","USA"
"Rainbow Time","MOVIE",2016,NA,91,NA,5.9,710,4.336,5.9,"drama","USA"
"Extremis","MOVIE",2016,NA,24,NA,NA,NA,5.349,7.1,"documentation","USA"
"Much Loved","MOVIE",2015,NA,108,NA,6.2,2722,7.255,6,"drama","Other"
"The Good Cop","SHOW",2015,"TV-MA",30,3,7.7,370,5.028,7,"comedy","Other"
"Always Be My Maybe","MOVIE",2016,NA,112,NA,6.7,372,4.031,7.4,"comedy","Philippines"
"Tales by Light","SHOW",2015,NA,27,3,8.3,1905,5.48,7.9,"documentation","Australia"
"The Guardian Brothers","MOVIE",2016,"PG",103,NA,5.4,2100,16.09,5.8,"animation","China"
"Chatô, The King of Brazil","MOVIE",2015,NA,100,NA,5.4,18,2.269,5.1,"comedy","Brazil"
"Open Season: Scared Silly","MOVIE",2015,"PG",85,NA,NA,NA,25.774,5.9,"animation","USA"
"One More Time","SHOW",2016,"TV-14",31,1,6.9,564,4.321,7.2,"scifi","Korea"
"My Runway","SHOW",2016,"TV-14",25,1,6.3,261,10.581,7.6,"comedy","Korea"
"Riphagen the Untouchable","MOVIE",2016,NA,132,NA,7.1,7701,10.891,6.5,"thriller","Other"
"The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared","MOVIE",2016,NA,108,NA,6.3,5976,8.814,6.4,"comedy","Other"
"Dear My Friends","SHOW",2016,"TV-MA",70,1,8.2,355,4.472,7.8,"drama","Korea"
"Toon","SHOW",2016,"TV-MA",27,2,7.6,890,3.812,8.3,"comedy","Other"
"White Nights","SHOW",2016,NA,62,1,6.9,287,4.329,8,"drama","Korea"
"Udta Punjab","MOVIE",2016,"R",148,NA,7.8,29819,7.815,7.2,"crime","India"
"The Paper","SHOW",2016,"TV-MA",48,3,7.4,64,10.121,7.6,"drama","Other"
"Toro","MOVIE",2016,"R",105,NA,5.9,3209,7.979,6,"thriller","Spain"
"Jeff Dunham: Unhinged in Hollywood","MOVIE",2015,"PG",60,NA,6.7,713,3.278,6.2,"comedy","USA"
"Tom Segura: Mostly Stories","MOVIE",2016,NA,73,NA,7.5,3508,4.573,7,"comedy","USA"
"Hunterrr","MOVIE",2015,"R",141,NA,7,6199,5.296,6.2,"romance","India"
"H20: Mermaid Adventures","SHOW",2015,"TV-Y",24,2,5.7,182,10.146,8.8,"comedy","France"
"Colin Quinn: Unconstitutional","MOVIE",2015,NA,55,NA,7,465,1.542,6.9,"comedy","USA"
"Keith Richards: Under the Influence","MOVIE",2015,"PG",82,NA,7.1,3357,5.617,6.8,"music","USA"
"Terrace House: Aloha State","SHOW",2016,NA,36,4,7.5,979,14.596,8.2,"reality","Japan"
"Stories by Rabindranath Tagore","SHOW",2015,"TV-PG",43,1,8.8,1295,4.367,8.8,"drama","India"
"The Haunted House","SHOW",2016,"TV-PG",25,7,8.4,71,13.649,10,"thriller","Korea"
"Ralphie May: Unruly","MOVIE",2015,NA,83,NA,NA,NA,3.016,4.3,"comedy","USA"
"Cheer Squad","SHOW",2016,"TV-PG",42,1,7.2,166,1.321,8,"reality","Canada"
"Mohenjo Daro","MOVIE",2016,NA,155,NA,5.6,11595,6.358,6.5,"romance","India"
"4K Fireplace","MOVIE",2015,"G",181,NA,7.7,48,1.336,6.8,"family","USA"
"Zip & Zap and the Captain's Island","MOVIE",2016,NA,105,NA,5.8,605,11.089,6,"comedy","Spain"
