"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"Age of Rebellion","SHOW",2018,"TV-MA",83,1,8.6,49,3.856,6,"drama","Taiwan"
"Naam Shabana","MOVIE",2017,NA,147,NA,6.2,6712,5.584,5.8,"thriller","India"
"Born Racer","MOVIE",2018,"R",88,NA,6.1,256,2.736,7.7,"drama","Other"
"The Girl Allergic to Wi-Fi","MOVIE",2018,NA,104,NA,6.3,290,2.726,6.8,"romance","Philippines"
"HiGH&LOW The Movie 3: Final Mission","MOVIE",2017,NA,118,NA,7.7,636,4.243,6.4,"drama","Japan"
"Kevin James: Never Don't Give Up","MOVIE",2018,"PG",62,NA,6.1,1448,4.617,6.3,"comedy","USA"
"Sylvia","MOVIE",2018,NA,130,NA,4.7,126,0.873,6.4,"thriller","Nigeria"
"Suzzanna: Buried Alive","MOVIE",2018,NA,125,NA,5.5,894,2.673,5.7,"horror","Indonesia"
"The Doll 2","MOVIE",2017,NA,116,NA,5.2,534,6.813,5.6,"thriller","Indonesia"
"How to Get Over a Breakup","MOVIE",2018,NA,104,NA,6.1,1972,9.983,6.8,"comedy","Other"
"All About the Washingtons","SHOW",2018,"TV-G",23,1,4.8,708,1.987,4.6,"comedy","USA"
"Cook Off","MOVIE",2017,"PG",116,NA,6.1,337,1.397,6.1,"comedy","Other"
"Weapon of Choice","MOVIE",2018,NA,90,NA,4.8,162,2.08,5.3,"documentation","Other"
"All the Reasons to Forget","MOVIE",2017,NA,90,NA,6.2,523,2.598,7.3,"comedy","Brazil"
"The Lost Brother","MOVIE",2017,NA,112,NA,6.5,1690,7.812,6.9,"thriller","Argentina"
"D.L. Hughley: Contrarian","MOVIE",2018,NA,58,NA,6.6,606,2.164,5.2,"comedy","USA"
"Part-Time Idol","SHOW",2017,"TV-14",40,1,6.7,108,5.068,8.5,"drama","Korea"
"Hometown Holiday","MOVIE",2018,NA,84,NA,5,994,2.681,5.6,"drama","Canada"
"Zion","MOVIE",2018,NA,10,NA,NA,NA,6.258,6.5,"documentation","USA"
"Can't Help Falling in Love","MOVIE",2017,NA,119,NA,7.2,889,4.321,7.6,"romance","Philippines"
"Blanche Gardin: I Talk to Myself","MOVIE",2017,NA,88,NA,7.9,133,4.741,7.8,"comedy","France"
"Fishtronaut: The Movie","MOVIE",2018,"G",88,NA,7.5,72,5.268,7.7,"animation","Brazil"
"Gad Gone Wild","MOVIE",2017,NA,57,NA,6.9,396,5.986,6.7,"comedy","France"
"Awe!","MOVIE",2018,NA,115,NA,7.8,4967,2.596,7,"drama","India"
"Pad Man","MOVIE",2018,"PG-13",140,NA,7.9,25269,9.062,7.4,"comedy","India"
"Jack Whitehall: At Large","MOVIE",2017,NA,67,NA,6.9,2094,5.01,7.1,"comedy","UK"
"Sparring","MOVIE",2017,NA,95,NA,6.4,614,5.892,5.8,"drama","France"
"A Boy Named Flora A","SHOW",2017,"TV-MA",89,2,7.9,314,1.684,6.6,"drama","Taiwan"
"My Travel Buddy","MOVIE",2017,"PG-13",115,NA,6.1,6656,4.757,5.8,"comedy","Turkey"
"Tiffany Haddish: She Ready! From the Hood to Hollywood!","MOVIE",2017,NA,65,NA,6.6,526,3.661,7.4,"comedy","USA"
"Party Monster: Scratching the Surface","MOVIE",2018,"PG-13",33,NA,NA,NA,1.35,6.9,"comedy","USA"
"Catching Feelings","MOVIE",2017,NA,115,NA,5.8,552,1.972,4.4,"romance","Other"
"Strongest Deliveryman","SHOW",2017,"TV-MA",55,1,7.4,626,6.359,6.8,"drama","Korea"
"Jen Kirkman: Just Keep Livin'?","MOVIE",2017,NA,69,NA,6.7,1281,3.985,6.6,"comedy","USA"
"Crossroads: One Two Jaga","MOVIE",2018,NA,80,NA,6.6,634,4.038,6.3,"drama","Other"
"Superlopez","MOVIE",2018,"G",108,NA,5.4,3574,10.67,5.3,"comedy","Spain"
"The Birth Reborn 2","MOVIE",2018,"PG",91,NA,6.6,5,0.738,5.8,"documentation","Brazil"
"The Last Runaway","MOVIE",2018,NA,107,NA,5.9,719,22.156,6.9,"crime","Other"
"Soorma","MOVIE",2018,"PG-13",131,NA,7.4,5103,2.69,7.5,"drama","India"
"Cristela Alonzo: Lower Classy","MOVIE",2017,NA,66,NA,6.4,845,4.083,6.2,"comedy","USA"
"The Could've-Gone-All-the-Way Committee","SHOW",2018,"TV-14",24,1,6.8,102,5.757,7.3,"comedy","Japan"
"48 Christmas Wishes","MOVIE",2017,NA,84,NA,3.9,1103,9.516,5.5,"family","Canada"
"The Maus","MOVIE",2017,NA,90,NA,4.7,6331,5.857,5.3,"horror","Spain"
"Bygones Be Bygones","MOVIE",2017,"PG-13",103,NA,6.2,3973,3.541,5.4,"comedy","Turkey"
"Russell Howard: Recalibrate","MOVIE",2017,NA,69,NA,7.4,1587,2.765,7.9,"comedy","UK"
"The Girl From the Song","MOVIE",2017,NA,102,NA,5.6,1750,7.602,6.1,"drama","Spain"
"Manu","MOVIE",2018,NA,182,NA,8,1073,1.847,7,"thriller","India"
"Goyo: The Boy General","MOVIE",2018,NA,155,NA,6.7,799,5.421,6.9,"history","Philippines"
"Lucas Brothers: On Drugs","MOVIE",2017,NA,49,NA,5.5,830,2.609,5.1,"comedy","USA"
"Coffee for All","MOVIE",2017,NA,69,NA,5.6,385,2.029,5.8,"documentation","Italy"
"Loudon Wainwright III: Surviving Twin","MOVIE",2018,NA,91,NA,7.1,94,1.272,8,"music","USA"
"Ana e Vitória","MOVIE",2018,NA,115,NA,6.4,604,5.923,7.2,"romance","Brazil"
"King of Boys","MOVIE",2018,NA,169,NA,6.1,404,3.082,6.4,"drama","Nigeria"
"The Many Faces of Ito","SHOW",2017,NA,30,1,6.7,244,5.712,7.5,"drama","Japan"
"Silence Is Welcome","MOVIE",2017,NA,94,NA,4.6,101,1.815,5,"drama","Mexico"
"Two Catalonias","MOVIE",2018,NA,116,NA,6.4,677,2.607,6.8,"documentation","Spain"
"No One Will Ever Know","MOVIE",2018,NA,102,NA,6.2,135,1.247,5.7,"drama","Mexico"
"Def Comedy Jam 25","MOVIE",2017,NA,81,NA,6.6,1096,3.101,6.1,"comedy","USA"
"Lovefucked","MOVIE",2018,NA,105,NA,NA,NA,1.735,5.3,"drama","India"
"Bon Cop Bad Cop 2","MOVIE",2017,NA,126,NA,6.6,4126,6.827,6.4,"crime","Canada"
"Jim Jefferies: This Is Me Now","MOVIE",2018,NA,70,NA,7.3,3984,5.57,6.8,"comedy","USA"
"Mubarakan","MOVIE",2017,"PG-13",156,NA,5.6,3906,4.208,6.2,"drama","India"
"Paskal","MOVIE",2018,NA,100,NA,6.8,2964,19.295,7.7,"action","Other"
"Stars in the Sky: A Hunting Story","MOVIE",2018,NA,69,NA,7.3,333,2.044,5.5,"documentation","USA"
"Notes from Dunblane: Lessons from a School Shooting","MOVIE",2018,NA,23,NA,NA,NA,3.85,6.1,"documentation","USA"
"Tattoo of Revenge","MOVIE",2018,"R",150,NA,4.9,112,3.723,5,"thriller","Mexico"
"Pickpockets","MOVIE",2018,NA,100,NA,5.4,1179,9.318,5.1,"drama","Other"
"El Potro: lo mejor del amor","MOVIE",2018,NA,122,NA,5.2,723,3.91,4.9,"drama","Argentina"
"Neevevaro","MOVIE",2018,"PG",130,NA,6.9,809,1.63,6.5,"thriller","India"
"Out of Many, One","MOVIE",2018,NA,35,NA,NA,NA,1.32,5.8,"documentation","USA"
"A House of Blocks","SHOW",2017,"TV-MA",84,1,2.3,137,1.808,8.3,"horror","Taiwan"
"First and Last","SHOW",2018,"TV-MA",44,1,6.7,421,8.639,7.7,"documentation","USA"
"Judah Friedlander: America Is the Greatest Country in the United States","MOVIE",2017,"R",84,NA,7.8,1436,4.414,7.4,"comedy","USA"
"Dave Chappelle: Equanimity & The Bird Revelation","SHOW",2017,"TV-MA",57,1,NA,NA,0.6,8.5,"comedy","USA"
"Aurora","MOVIE",2018,NA,110,NA,4.3,603,3.905,5,"thriller","Philippines"
"Gunshot","MOVIE",2018,NA,96,NA,6.8,593,1.084,7.6,"drama","Other"
"Smaller and Smaller Circles","MOVIE",2017,NA,111,NA,6.6,234,1.775,6.2,"thriller","Philippines"
"Todd Barry: Spicy Honey","MOVIE",2017,NA,60,NA,6.8,840,3.711,7.3,"comedy","USA"
"Joshua: Teenager vs. Superpower","MOVIE",2017,NA,78,NA,7.2,1531,6.826,7.3,"documentation","USA"
"The Bros","MOVIE",2017,NA,102,NA,6.1,616,3.677,6.5,"comedy","Korea"
"5 Star Christmas","MOVIE",2018,NA,92,NA,4.5,767,6.368,4.2,"comedy","Italy"
"The Reservoir Game","MOVIE",2017,NA,100,NA,6,35,1.785,8.8,"documentation","Korea"
"Todo lo que sería Lucas Lauriente","MOVIE",2018,NA,78,NA,6.9,108,1.366,7.5,"comedy","Argentina"
"Running Man","SHOW",2017,NA,11,1,8.4,32,0.6,NA,"animation","Korea"
"Julie's Greenroom","SHOW",2017,NA,26,1,8.2,328,3.104,8.5,"comedy","USA"
"DTC –Yukemuri Junjo Hen– from HiGH&LOW","MOVIE",2018,NA,102,NA,6.8,55,2.918,1,"comedy","Japan"
"Hari Kondabolu: Warn Your Relatives","MOVIE",2018,NA,67,NA,6.5,837,2.215,5.9,"comedy","USA"
"Alexis de Anda: Mea Culpa","MOVIE",2017,NA,54,NA,4.9,101,0.946,4.3,"comedy","Mexico"
"Freej Al Taibeen","MOVIE",2018,"PG-13",100,NA,5.8,9,0.891,2,"comedy","Other"
"All Hail King Julien: Exiled","SHOW",2017,"TV-Y7",23,1,7.5,559,6.454,8.5,"animation","USA"
"Gurgaon","MOVIE",2017,NA,107,NA,6.5,2191,2.288,5,"thriller","India"
"Ani... Dr. Kashinath Ghanekar","MOVIE",2018,NA,159,NA,8.5,1071,1.486,NA,"drama","India"
"Jim Norton: Mouthful of Shame","MOVIE",2017,NA,61,NA,7,1324,4.476,6.9,"comedy","USA"
"Fanatyk","MOVIE",2017,NA,33,NA,NA,NA,4.463,6.5,"drama","Other"
"Jonaki","MOVIE",2018,NA,96,NA,6.8,251,0.925,5.9,"fantasy","France"
"Rafinha Bastos: Ultimatum","MOVIE",2018,NA,62,NA,6.5,214,2.171,6.7,"comedy","Brazil"
"A StoryBots Christmas","MOVIE",2017,NA,25,NA,5.7,156,5.004,6.2,"fantasy","USA"
"Falling in Love Like a Romantic Drama","SHOW",2018,"TV-14",39,1,NA,NA,2.379,NA,"reality","Japan"
"Justice: Qalb Al Adala","SHOW",2017,"TV-14",37,1,5.6,155,1.307,7,"drama","USA"
"Lionheart","MOVIE",2018,NA,95,NA,5.7,1444,4.696,6,"drama","Nigeria"
"To Each, Her Own","MOVIE",2018,NA,95,NA,5.4,1726,8.15,5.1,"romance","France"
"REA(L)OVE","SHOW",2018,"TV-MA",45,1,6.6,210,0.6,5.7,"reality","Japan"
"Argon","SHOW",2017,NA,63,1,7.3,261,3.509,7.3,"drama","Korea"
"Night of Knots","MOVIE",2018,"G",100,NA,5.4,1282,1.997,3.6,"comedy","Turkey"
"Love You to the Stars and Back","MOVIE",2017,NA,111,NA,7.6,531,2.255,7.8,"drama","Philippines"
"Marlon Wayans: Woke-ish","MOVIE",2018,NA,68,NA,6.5,1390,5.269,6.4,"comedy","USA"
"Buddy Thunderstruck","SHOW",2017,"TV-Y7",22,2,7.8,489,3.463,8.4,"comedy","USA"
"Ghost Hunting","MOVIE",2017,NA,94,NA,7.1,219,1.03,6.3,"documentation","France"
"Music Teacher","MOVIE",2018,NA,101,NA,6.2,684,2.281,6,"drama","India"
"Poster Boys","MOVIE",2017,"PG-13",128,NA,5.5,1541,1.645,5.4,"comedy","India"
"Blazing Transfer Students","SHOW",2017,"TV-MA",26,1,7,116,2.467,8,"action","Japan"
"Club de Cuervos Presents: The Ballad of Hugo Sánchez","SHOW",2018,"TV-MA",32,1,6.4,816,4.798,7.8,"comedy","Mexico"
"Munafik 2","MOVIE",2018,NA,104,NA,6.3,1654,3.387,5.7,"horror","Other"
"The Hows of Us","MOVIE",2018,NA,117,NA,6.7,2695,4.045,6.9,"drama","Philippines"
"Marco Luque - We are together","MOVIE",2017,NA,73,NA,4.4,76,1.143,5.2,"comedy","Brazil"
"Felipe Neto: My Life Makes No Sense","MOVIE",2017,NA,90,NA,4.4,245,1.418,6.5,"comedy","Brazil"
"Aditi Mittal: Things They Wouldn't Let Me Say","MOVIE",2017,NA,62,NA,4.3,330,2.401,4.6,"comedy","India"
"Blessed Benefit","MOVIE",2017,NA,83,NA,6.6,665,1.323,6.3,"comedy","Other"
"Robozuna","SHOW",2018,NA,22,3,6.6,92,7.167,8.3,"animation","UK"
"Malena Pichot: Estupidez compleja","MOVIE",2018,NA,50,NA,5.7,360,3.202,5.3,"comedy","Argentina"
"Chief Daddy","MOVIE",2018,NA,98,NA,4.7,269,2.748,5.6,"comedy","Nigeria"
"Adhugo","MOVIE",2018,NA,110,NA,5.9,65,1.178,7,"drama","India"
"Solo el amor","MOVIE",2018,NA,93,NA,4.7,68,8.878,5.3,"romance","Argentina"
"Hedefim Sensin","MOVIE",2018,NA,105,NA,6.2,4384,3.732,5.6,"comedy","Turkey"
"Deliha 2","MOVIE",2018,"G",106,NA,4.7,2554,4.645,5.7,"comedy","Turkey"
"Spivak","MOVIE",2018,NA,91,NA,5.6,732,3.649,5.6,"comedy","USA"
"For Here or to Go?","MOVIE",2017,NA,105,NA,6.8,605,2.197,7,"drama","USA"
"DreamWorks Home: For the Holidays","MOVIE",2017,"PG-13",45,NA,4.9,149,7.139,5.2,"fantasy","UK"
"Check The Store Next Door","SHOW",2018,"TV-14",30,2,7.8,129,5.449,6,"comedy","Indonesia"
"Late Life: The Chien-Ming Wang Story","MOVIE",2018,NA,97,NA,7.2,465,2.399,6.3,"documentation","Taiwan"
"Listen","MOVIE",2017,NA,109,NA,6.6,227,0.6,8,"drama","Other"
"Aiyaary","MOVIE",2018,NA,157,NA,5.2,4671,6.455,5.5,"thriller","India"
"Battlefish","SHOW",2018,NA,45,1,7,426,2.537,8.8,"reality","USA"
"Pulang","MOVIE",2018,NA,120,NA,6.7,594,1.532,5.9,"drama","Other"
"Alter Ego","MOVIE",2017,NA,111,NA,5.7,55,1.349,NA,"drama","Nigeria"
"Ayotzinapa: The Turtle's Pace","MOVIE",2018,NA,80,NA,7.4,204,5.503,6.6,"documentation","Mexico"
"The Price of Success","MOVIE",2017,NA,92,NA,5.8,362,4.249,6,"drama","France"
"I, Potro","MOVIE",2018,NA,50,NA,6.2,493,3.708,5.9,"comedy","Mexico"
"Turkish Dance School","MOVIE",2017,"PG-13",111,NA,5.7,2113,5.467,5.5,"drama","Turkey"
"Vanjagar Ulagam","MOVIE",2018,"PG-13",161,NA,6,258,1.411,4.8,"thriller","India"
"Verses of Love 2","MOVIE",2017,NA,125,NA,5.9,603,2.623,6.8,"drama","Indonesia"
"Luciano Mellera: Infantiloide","MOVIE",2018,"PG-13",66,NA,7.5,1516,1.83,7.4,"comedy","Argentina"
"My Travel Buddy 2","MOVIE",2018,"PG-13",116,NA,5.8,3217,3.115,6.2,"comedy","Turkey"
"Alan Saldaña: mi vida de pobre","MOVIE",2017,NA,53,NA,6.3,68,1.403,6.5,"comedy","Mexico"
"Vir Das: Abroad Understanding","MOVIE",2017,NA,65,NA,6.9,1697,3.13,6.9,"comedy","USA"
"Hantu Kak Limah","MOVIE",2018,NA,111,NA,5.6,677,2.209,6.9,"horror","Other"
"Back to Q82","MOVIE",2017,NA,105,NA,6,94,0.6,NA,"scifi","Other"
"Garbage","MOVIE",2018,NA,105,NA,3.4,1004,2.785,4.2,"thriller","India"
"Teefa in Trouble","MOVIE",2018,"PG-13",155,NA,7.3,3569,3.782,7.6,"drama","Other"
"Potato Potahto","MOVIE",2017,NA,104,NA,4.1,208,2.255,2.8,"comedy","Other"
"Joe Mande's Award-Winning Comedy Special","MOVIE",2017,NA,66,NA,6.1,498,2.915,6.3,"comedy","USA"
"The Hollywood Masters","SHOW",2017,"TV-MA",34,3,7.2,86,0.6,NA,"documentation","USA"
"The Royal Hibiscus Hotel","MOVIE",2018,NA,90,NA,5.5,276,2.243,4.4,"comedy","Nigeria"
"Kulipari: Dream Walker","SHOW",2018,"TV-Y7",19,1,7.7,91,5.562,9,"fantasy","USA"
"Puriyaatha Puthir","MOVIE",2017,NA,140,NA,6.6,1032,2.088,7.1,"thriller","India"
"Son Of Adam","MOVIE",2018,NA,109,NA,NA,NA,1.459,6,"thriller","Other"
"ID-0","SHOW",2017,"TV-14",24,1,6.2,320,2.72,6.3,"scifi","Japan"
"Super Monsters and the Wish Star","MOVIE",2018,NA,27,NA,NA,NA,2.821,6,"fantasy","USA"
"Ryan Hamilton: Happy Face","MOVIE",2017,NA,56,NA,7.3,921,2.828,7,"comedy","USA"
"Daniel Sosa: Sosafado","MOVIE",2017,NA,77,NA,5.4,98,1.124,6.3,"comedy","Mexico"
"Fantastica","MOVIE",2018,"G",114,NA,3.6,212,1.688,6.1,"fantasy","Philippines"
"Food on the Go","MOVIE",2017,NA,66,NA,6.3,211,1.4,6,"documentation","Argentina"
"Agustín Aristarán: Soy Rada","MOVIE",2018,NA,60,NA,6.1,121,1.156,5.5,"comedy","Argentina"
"Grillo vs Grillo","MOVIE",2017,NA,95,NA,5.2,129,1.132,6,"comedy",NA
"Jim Gaffigan: Cinco","MOVIE",2017,NA,73,NA,7.1,2381,4.898,7,"comedy","USA"
"Free Rein: The Twelve Neighs of Christmas","MOVIE",2018,NA,58,NA,6.7,5633,8.311,6.9,"comedy","USA"
"My Ex & Whys","MOVIE",2017,NA,120,NA,6.2,572,3.375,6.4,"romance","Philippines"
"Pa Paandi","MOVIE",2017,NA,125,NA,7.4,1725,2.594,7.1,"comedy","India"
"Penalty Kick","MOVIE",2018,"PG-13",89,NA,3.7,280,7.002,5.3,"comedy","Mexico"
"Noblemen","MOVIE",2018,NA,108,NA,5.6,274,1.384,6,"drama","India"
"Bonboné","MOVIE",2018,NA,15,NA,NA,NA,1.753,NA,"comedy","Other"
"Brad Paisley's Comedy Rodeo","MOVIE",2017,NA,63,NA,5.7,151,2.044,6.5,"comedy","USA"
"Love, Surreal and Odd","MOVIE",2017,"G",95,NA,5.6,3216,1.609,5.2,"comedy","Turkey"
"Pacíficum","MOVIE",2017,NA,74,NA,6.5,126,1.16,5.5,"documentation","Other"
"Mama's Boy","MOVIE",2018,NA,104,NA,6.1,987,1.558,5.6,"comedy","Other"
"Seven Sundays","MOVIE",2017,NA,128,NA,7.7,456,3.045,8.5,"drama","Philippines"
"Puppy Star Christmas","MOVIE",2018,"PG",90,NA,3.6,248,6.999,5.7,"family","USA"
"Mo Amer: The Vagabond","MOVIE",2018,NA,56,NA,7.3,799,2.008,5.7,"comedy","USA"
"Marriage Palace","MOVIE",2018,NA,102,NA,6.2,180,1.4,7,"comedy",NA
"The Perfect Match","SHOW",2017,"TV-14",44,1,NA,NA,2.684,7.4,"comedy","Taiwan"
"Harvey Street Kids","SHOW",2018,"TV-Y7",24,4,6.8,249,4.753,8.5,"action","USA"
"Pahuna: The Little Visitors","MOVIE",2017,NA,138,NA,7.5,397,1.234,8.1,"drama","India"
"Mahi NRI","MOVIE",2017,NA,132,NA,5.9,83,1.134,2,"comedy","India"
"Rodney King","MOVIE",2017,NA,52,NA,5.8,601,2.444,5.2,"crime","USA"
"Exes Baggage","MOVIE",2018,NA,104,NA,6.4,267,1.256,8.2,"drama","Philippines"
"Mauli","MOVIE",2018,NA,134,NA,5.6,362,1.291,5,"drama","India"
"Tracy Morgan: Staying Alive","MOVIE",2017,NA,60,NA,6.1,1202,3.558,6.4,"comedy",NA
"Voulez-vous rire avec moi ce soir?","MOVIE",2018,NA,93,NA,6.8,43,0.973,9.3,"documentation","France"
"La Leyenda del Diamante","MOVIE",2018,NA,87,NA,3.4,48,18.818,5.3,"fantasy","Mexico"
"Pup Star: World Tour","MOVIE",2018,"G",87,NA,3.8,207,5.884,5.7,"comedy","Canada"
"Shubh Aarambh","MOVIE",2017,NA,126,NA,6.8,121,0.893,6,"comedy","India"
"Chris D'Elia: Man on Fire","MOVIE",2017,NA,65,NA,6.5,1720,2.801,6.2,"comedy","USA"
"A Drowning Man","MOVIE",2017,NA,15,NA,NA,NA,1.101,5.6,"drama","Other"
"A Man for The Weekend","MOVIE",2017,NA,94,NA,4,11,1.674,2,"romance","Other"
"DeRay Davis: How to Act Black","MOVIE",2017,"PG",66,NA,6.1,427,3.191,6.1,"comedy","USA"
"El Especial de Alex Fernández, el Especial","MOVIE",2017,NA,52,NA,6.6,73,0.6,6.7,"comedy","Mexico"
"Life Plan A and B","SHOW",2017,"TV-PG",80,1,7.8,106,2.107,7,"drama","Taiwan"
"Thug Life","MOVIE",2017,NA,134,NA,5.7,48,0.932,NA,"comedy","India"
"Posesif","MOVIE",2017,NA,102,NA,7.4,920,2.403,7.8,"drama","Indonesia"
"Merku Thodarchi Malai","MOVIE",2018,NA,122,NA,8.6,1810,2.764,7.4,"drama","India"
"Natalia Valdebenito: El especial","MOVIE",2018,NA,76,NA,5.1,82,1.874,7.3,"comedy","Other"
"Jani Dueñas: Grandes fracasos de ayer y hoy","MOVIE",2018,NA,77,NA,4.8,71,1.815,6,"comedy","Other"
"Arango y Sanint: Ríase el show","MOVIE",2018,NA,62,NA,4,42,1.4,4,"comedy","Other"
"Doob","MOVIE",2017,NA,102,NA,6.2,1863,2.045,5.7,"drama","India"
"Adel Karam: Live from Beirut","MOVIE",2018,"R",59,NA,5.5,144,1.76,7,"comedy","Other"
"Stretch Armstrong: The Breakout","MOVIE",2018,NA,45,NA,NA,NA,1.982,6,"animation","USA"
"Love and Shukla","MOVIE",2017,NA,117,NA,7.3,933,1.418,8.2,"romance","India"
"Alejandro Riaño: Especial de stand up","MOVIE",2018,NA,60,NA,4.9,69,1.132,5,"comedy","Other"
"Birdshot","MOVIE",2017,NA,116,NA,6.6,781,3.189,6.5,"thriller","Philippines"
"Kavin Jay : Everybody Calm Down!","MOVIE",2018,NA,53,NA,5.9,232,1.431,4.6,"comedy",NA
"Mau Nieto: viviendo sobrio… desde el bar","MOVIE",2018,NA,57,NA,6.7,80,1.414,6.2,"comedy","Mexico"
"Coco y Raulito: Carrusel de ternura","MOVIE",2018,"PG-13",56,NA,6.6,39,1.4,7,"comedy","Mexico"
"First Love","MOVIE",2018,NA,122,NA,6,149,1.572,5.9,"drama","Philippines"
"Fernando Sanjiao: Hombre","MOVIE",2018,NA,63,NA,6.3,57,1.179,6.5,"comedy","Argentina"
"Highland: Thailand's Marijuana Awakening","SHOW",2017,"TV-MA",20,1,6.2,24,0.68,8,"documentation","USA"
"Ricardo Quevedo: Hay gente así","MOVIE",2018,NA,58,NA,6.3,104,1.279,7,"comedy","Other"
"Si saben cómo me pongo ¿Pa' qué me invitan?","MOVIE",2018,NA,89,NA,4.6,216,6.87,5.8,"romance","Other"
"The Lost Café","MOVIE",2018,NA,76,NA,6.4,24,1.4,5,"drama","Other"
"Zoé: Panoramas","MOVIE",2017,"PG",89,NA,6.8,77,NA,NA,"music",NA
"Fabrizio Copano: solo pienso en mí","MOVIE",2017,NA,59,NA,5,33,1.633,5.8,"comedy","Other"
"Good Game: The Beginning","MOVIE",2018,"PG-13",104,NA,4.4,1796,2.709,2.4,"comedy","Turkey"
"Santo cachón","MOVIE",2018,NA,87,NA,4.8,53,2.312,6,"comedy","Other"
"Pinky Memsaab","MOVIE",2018,NA,124,NA,6.3,521,1.235,9,"drama","Other"
"Heaven Without People","MOVIE",2017,NA,91,NA,7.6,1249,1.713,7,"drama","Other"
"Yoo Byung Jae: Discomfort Zone","MOVIE",2018,NA,54,NA,NA,NA,0.792,6.4,"comedy","Korea"
"Edmilson Filho: Notas, Comedy about Relationships","MOVIE",2018,NA,79,NA,5.2,20,1.4,5,"comedy","Brazil"
"Hadithi za Kumekucha: Fatuma","MOVIE",2018,NA,85,NA,7.6,8,1.536,NA,"drama","Other"
"Echcharikkai","MOVIE",2018,NA,134,NA,6.3,307,2.334,4.9,"thriller","India"
"Nathicharami","MOVIE",2018,NA,116,NA,7.2,316,1.208,7.2,"drama","India"
"Facing Mecca","MOVIE",2017,NA,25,NA,NA,NA,1.489,5.6,"drama","Other"
"Ayana","MOVIE",2017,NA,112,NA,7.4,128,0.618,NA,"drama","Other"
"Table Manners","MOVIE",2018,NA,105,NA,5.1,43,1.486,NA,"comedy","Other"
"Salam - The First ****** Nobel Laureate","MOVIE",2018,NA,75,NA,7.8,414,2.916,7.3,"documentation","USA"
"Todd Glass: Act Happy","MOVIE",2018,NA,62,NA,5.1,366,2.867,5.7,"comedy","USA"
"Lilli","MOVIE",2018,"PG",91,NA,5.7,278,1.852,6.1,"thriller","India"
"Eve's Apple","MOVIE",2017,NA,90,NA,5.9,86,1.066,6.5,"documentation","Spain"
"Enissa Amani: Ehrenwort","MOVIE",2018,"PG",65,NA,5.5,194,2.274,5.6,"comedy","USA"
"Kingdom of Us","MOVIE",2017,NA,109,NA,7,887,3.191,7.2,"documentation","UK"
"Aruna & Her Palate","MOVIE",2018,NA,106,NA,7.2,765,2.023,6.6,"romance","Indonesia"
"Into the Wind","MOVIE",2018,NA,76,NA,4.2,42,1.301,4.5,"drama","Other"
"Baby Mamas","MOVIE",2018,NA,93,NA,6.6,63,0.6,NA,"drama","Other"
"The Break with Michelle Wolf","SHOW",2018,"TV-MA",30,1,5.1,1862,1.846,4.8,"comedy","USA"
"Lynne Koplitz: Hormonal Beast","MOVIE",2017,NA,51,NA,6.2,417,1.387,5.6,"comedy","USA"
"Jindua","MOVIE",2017,NA,140,NA,6.5,275,1.14,9.3,"romance","India"
"Yoo Byung Jae: Too Much Information","MOVIE",2018,NA,63,NA,5.3,53,0.793,6.3,"comedy","Korea"
"Ask the Doctor","SHOW",2017,NA,28,3,6.5,289,1.659,7.6,"documentation","Australia"
"Sei","MOVIE",2018,NA,128,NA,4.2,64,1.638,4.3,"thriller","India"
"Oga Bolaji","MOVIE",2018,NA,91,NA,NA,NA,0.6,NA,"drama","Nigeria"
"Christmas Catch","MOVIE",2018,NA,80,NA,5.3,1428,3.677,5.3,"romance","Canada"
"Project Papa","MOVIE",2018,"G",97,NA,6.3,35,1.4,NA,"drama",NA
"Kibaoh Klashers","SHOW",2017,"TV-Y7",24,2,6.3,17,2.173,8,"scifi","China"
"#FriendButMarried","MOVIE",2018,NA,102,NA,6.9,695,1.96,6.8,"romance","Indonesia"
"Mr. Chandramouli","MOVIE",2018,NA,122,NA,5.1,234,1.4,4.7,"romance","India"
"Sebastián Marcelo Wainraich","MOVIE",2018,NA,49,NA,6.4,105,1.009,6.5,"comedy","Argentina"
"True: Wonderful Wishes","SHOW",2018,"TV-Y",23,1,NA,NA,1.168,NA,"animation","USA"
"Dhh","MOVIE",2018,"R",128,NA,7.9,320,1.22,9,"drama","India"
"Three Words to Forever","MOVIE",2018,NA,106,NA,6.8,109,1.755,10,"drama",NA
"In Line","MOVIE",2017,NA,115,NA,6.1,34,1.214,NA,"drama","Nigeria"
"Unexpectedly Yours","MOVIE",2017,NA,120,NA,6.8,178,1.987,7.5,"romance","Philippines"
"Next Enti?","MOVIE",2018,NA,157,NA,4.6,159,1.423,3.8,"drama",NA
"The Sound of Your Heart: Reboot","SHOW",2018,NA,34,2,5.9,134,4.711,6.4,"comedy","Korea"
"Pretty Man","SHOW",2018,"TV-14",35,2,NA,NA,4.429,8.5,"family","China"
"Harith Iskander: I Told You So","MOVIE",2018,NA,61,NA,4.6,172,2.547,5.5,"comedy","USA"
"Memories of Love","SHOW",2018,"TV-PG",44,1,5.9,16,5.081,2.7,"drama","China"
"Wedy Atkalam","MOVIE",2018,NA,72,NA,5.8,17,NA,NA,"drama","Other"
